observacoes;nome_popular;nome_cientifico
1;codorna-amarela;Nothura maculosa
1;perdiz;Rhynchotus rufescens
5;inhambuguaçu;Crypturellus obsoletus
1;tachã;Chauna torquata
7;irerê;Dendrocygna viduata
5;marreca-caneleira;Dendrocygna bicolor
1;cisne-de-pescoço-preto;Cygnus melancoryphus
3;capororoca;Coscoroba coscoroba
4;pato-do-mato;Cairina moschata
1;marreca-de-coleira;Callonetta leucophrys
6;marreca-ananaí;Amazonetta brasiliensis
7;marreca-cricri;Spatula versicolor
2;marreca-parda;Anas georgica
1;marreca-pardinha;Anas flavirostris
2;jacuguaçu;Penelope obscura
1;pombo-doméstico;Columba livia
6;pomba-asa-branca;Patagioenas picazuro
7;pomba-do-orvalho;Patagioenas maculosa
1;rolinha-roxa;Columbina talpacoti
11;rolinha-picuí;Columbina picui
10;juriti-pupu;Leptotila verreauxi
6;juriti-de-testa-branca;Leptotila rufaxilla
1;avoante;Zenaida auriculata
23;anu-branco;Guira guira
13;anu-preto;Crotophaga ani
2;alma-de-gato;Piaya cayana
2;bacurau-da-telha/de-roraima;Systellura longirostris
1;urutau;Nyctibius griseus
19;andorinhão-do-temporal;Chaetura meridionalis
8;besourinho-de-bico-vermelho;Chlorostilbon lucidus
6;beija-flor-tesoura;Eupetomena macroura
1;beija-flor-de-papo-branco;Leucochloris albicollis
1;beija-flor-dourado;Hylocharis chrysura
9;saracura-sanã;Pardirallus nigricans
3;saracura-do-banhado;Pardirallus sanguinolentus
4;saracuruçu;Aramides ypecaha
6;saracura-três-potes;Aramides cajaneus
3;saracura-do-mato;Aramides saracura
2;galinha-d'água-carijó;Porphyriops melanops
1;galinha-d'água;Gallinula galeata
6;sanã-vermelha;Rufirallus leucopyrrhus
2;sanã-parda;Laterallus melanophaius
2;sanã-cinza;Laterallus spiloptera
1;carão;Aramus guarauna
9;pernilongo-de-costas-negras/de-costas-brancas;Himantopus mexicanus
5;piru-piru;Haematopus palliatus
66;batuiruçu;Pluvialis dominica
3;quero-quero;Vanellus chilensis
19;batuíra-de-coleira;Anarhynchus collaris
86;jaçanã;Jacana jacana
25;maçarico-de-perna-amarela;Tringa flavipes
1;maçarico-grande-de-perna-amarela;Tringa melanoleuca
43;maçarico-de-papo-vermelho;Calidris canutus
61;maçarico-acanelado;Calidris subruficollis
10;maçarico-de-sobre-branco;Calidris fuscicollis
3;gaivota-maria-velha;Chroicocephalus maculipennis
2;gaivota-de-cabeça-cinza;Chroicocephalus cirrocephalus
15;gaivotão;Larus dominicanus
8;trinta-réis-pequeno;Sternula superciliaris
2;trinta-réis-de-coroa-branca;Sterna trudeaui
1;trinta-réis-boreal;Sterna hirundo
21;trinta-réis-de-bando;Thalasseus sandvicensis
30;maguari;Ciconia maguari
3;cabeça-seca;Mycteria americana
1;biguatinga;Anhinga anhinga
6;biguá;Nannopterum brasilianum
142;caraúna;Plegadis chihi
8;tapicuru;Phimosus infuscatus
72;curicaca;Theristicus caudatus
12;colhereiro;Platalea ajaja
11;socó-boi;Tigrisoma lineatum
6;socó-dorminhoco;Nycticorax nycticorax
2;garça-azul;Egretta caerulea
34;garça-branca-pequena;Egretta thula
6;socozinho;Butorides striata
5;garça-vaqueira;Ardea ibis
2;garça-branca-grande;Ardea alba
14;garça-moura;Ardea cocoi
9;urubu-preto;Coragyps atratus
5;urubu-de-cabeça-vermelha;Cathartes aura
23;urubu-de-cabeça-amarela;Cathartes burrovianus
6;gavião-do-banhado;Circus buffoni
7;gavião-caramujeiro;Rostrhamus sociabilis
4;gavião-caboclo;Buteogallus meridionalis
